Feature,Coefficient,Abs_Coefficient
name,-5.6050004607449395,5.6050004607449395
distance,2.753093621953699,2.753093621953699
cab_type,1.141630345258519,1.141630345258519
surge_multiplier,1.055810109212531,1.055810109212531
temp,0.3390253097730199,0.3390253097730199
humidity,0.2933856542969687,0.2933856542969687
pressure,0.19065868691719923,0.19065868691719923
wind,0.18752205616748768,0.18752205616748768
distance_category,-0.18423302981324918,0.18423302981324918
source,0.12624153958279188,0.12624153958279188
destination,0.0586601683427856,0.0586601683427856
clouds,0.030135539819900223,0.030135539819900223
rain,0.02550834010582398,0.02550834010582398
is_weekend,6.661338147750939e-16,6.661338147750939e-16
is_rush_hour,-5.689893001203927e-16,5.689893001203927e-16
time_period,-4.440892098500626e-16,4.440892098500626e-16
hour_of_day,4.3021142204224816e-16,4.3021142204224816e-16
day_of_week,-3.885780586188048e-16,3.885780586188048e-16
month,5.551115123125783e-17,5.551115123125783e-17
